state_fips,state_abbr,place_fips,place_name
01,AL,00100,Abanda CDP
01,AL,00124,Abbeville city
01,AL,00460,Adamsville city
01,AL,00484,Addison town
01,AL,00676,Akron town
01,AL,00820,Alabaster city
01,AL,00988,Albertville city
01,AL,01132,Alexander City city
01,AL,01180,Alexandria CDP
01,AL,01228,Aliceville city
01,AL,01396,Allgood town
01,AL,01660,Altoona town
01,AL,01708,Andalusia city
01,AL,01756,Anderson town
01,AL,01852,Anniston city
01,AL,02116,Arab city
01,AL,02260,Ardmore town
01,AL,02320,Argo town
01,AL,02428,Ariton town
01,AL,02500,Arley town
01,AL,02836,Ashford town
01,AL,02860,Ashland town
01,AL,02908,Ashville city
01,AL,02956,Athens city
01,AL,03004,Atmore city
01,AL,03028,Attalla city
01,AL,03076,Auburn city
01,AL,03220,Autaugaville town
01,AL,03364,Avon town
01,AL,03508,Axis CDP
01,AL,03556,Babbie town
01,AL,03676,Baileyton town
01,AL,03724,Bakerhill town
01,AL,03820,Ballplay CDP
01,AL,03940,Banks town
01,AL,04660,Bay Minette city
01,AL,04684,Bayou La Batre city
01,AL,04852,Bear Creek town
01,AL,04900,Beatrice town
01,AL,04948,Beaverton town
01,AL,05140,Belgreen CDP
01,AL,05164,Belk town
01,AL,05188,Bellamy CDP
01,AL,05212,Belle Fontaine CDP
01,AL,05692,Benton town
01,AL,05812,Berlin town
01,AL,05932,Berry town
01,AL,05980,Bessemer city
01,AL,06460,Billingsley town
01,AL,07000,Birmingham city
01,AL,07120,Black town
01,AL,07456,Blountsville town
01,AL,07588,Blue Ridge CDP
01,AL,07672,Blue Springs town
01,AL,07912,Boaz city
01,AL,08104,Boligee town
01,AL,08248,Bon Air town
01,AL,08272,Bon Secour CDP
01,AL,08680,Boykin CDP
01,AL,09016,Brantley town
01,AL,09064,Brantleyville CDP
01,AL,09136,Brent city
01,AL,09208,Brewton city
01,AL,09328,Bridgeport city
01,AL,09400,Brighton city
01,AL,09424,Brilliant town
01,AL,09457,Bristow Cove CDP
01,AL,09500,Brook Highland CDP
01,AL,09736,Brookside town
01,AL,09808,Brookwood town
01,AL,09880,Broomtown CDP
01,AL,10240,Brundidge city
01,AL,10456,Bucks CDP
01,AL,11032,Butler town
01,AL,11416,Calera city
01,AL,11488,Calvert CDP
01,AL,11512,Camden city
01,AL,11680,Camp Hill town
01,AL,12016,Carbon Hill city
01,AL,12040,Cardiff town
01,AL,12070,Carlisle-Rockledge CDP
01,AL,12112,Carlton CDP
01,AL,12160,Carolina town
01,AL,12304,Carrollton town
01,AL,12496,Castleberry town
01,AL,12544,Catherine CDP
01,AL,12760,Cedar Bluff town
01,AL,13264,Center Point city
01,AL,13648,Centre city
01,AL,13672,Centreville city
01,AL,14008,Chatom town
01,AL,14104,Chelsea city
01,AL,14152,Cherokee town
01,AL,14392,Chickasaw city
01,AL,14464,Childersburg city
01,AL,14728,Choccolocco CDP
01,AL,14968,Chunchula CDP
01,AL,15064,Citronelle city
01,AL,15136,Clanton city
01,AL,15256,Clay city
01,AL,15304,Clayhatchee town
01,AL,15376,Clayton town
01,AL,15472,Cleveland town
01,AL,15640,Clio city
01,AL,16000,Coaling town
01,AL,16080,Coats Bend CDP
01,AL,16240,Coffee Springs town
01,AL,16264,Coffeeville town
01,AL,16312,Coker town
01,AL,16600,Collinsville town
01,AL,16684,Colony town
01,AL,16744,Columbia town
01,AL,16768,Columbiana city
01,AL,16936,Concord CDP
01,AL,17176,Coosada town
01,AL,17368,Cordova city
01,AL,17704,Cottondale CDP
01,AL,17824,Cottonwood town
01,AL,17968,County Line town
01,AL,18040,Courtland town
01,AL,18088,Cowarts town
01,AL,18304,Creola city
01,AL,18856,Crossville town
01,AL,18952,Cuba town
01,AL,18976,Cullman city
01,AL,19024,Cullomburg CDP
01,AL,19216,Cusseta town
01,AL,19336,Dadeville city
01,AL,19360,Daleville city
01,AL,19648,Daphne city
01,AL,19744,Dauphin Island town
01,AL,19816,Daviston town
01,AL,19912,Dayton town
01,AL,20008,Deatsville town
01,AL,20104,Decatur city
01,AL,20152,Deer Park CDP
01,AL,20272,Delta CDP
01,AL,20296,Demopolis city
01,AL,20392,Detroit town
01,AL,20955,Dodge City town
01,AL,21136,Dora city
01,AL,21184,Dothan city
01,AL,21280,Double Springs town
01,AL,21328,Douglas town
01,AL,21448,Dozier town
01,AL,21890,Dunnavant CDP
01,AL,21952,Dutton town
01,AL,22088,Eagle Point CDP
01,AL,22216,East Brewton city
01,AL,22504,East Point CDP
01,AL,22816,Eclectic town
01,AL,23032,Edgewater CDP
01,AL,23176,Edwardsville town
